Change Physical Footprint: Designator=BAT Old Footprint=BT_MS621FE-FL11E New Footprint=BT_MS621FE-FL11E
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C2 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C3 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C4 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C5 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C6 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C7 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C8 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C9 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C11 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C12 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C13 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C14 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C15 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C16 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C17 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C18 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C19 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C20 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C21 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C22 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C23 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C24 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C25 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C26 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C27 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=C28 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C29 Old Footprint=CAP_0201 New Footprint=CAP_0201
Change Physical Footprint: Designator=D1 Old Footprint=LEDC1608X70N New Footprint=LEDC1608X70N
Change Physical Footprint: Designator=D2 Old Footprint=LEDC1608X70N New Footprint=LEDC1608X70N
Change Physical Footprint: Designator=D3 Old Footprint=LEDC1608X70N New Footprint=LEDC1608X70N
Change Physical Footprint: Designator=D4 Old Footprint=LEDC1608X70N New Footprint=LEDC1608X70N
Change Physical Footprint: Designator=J1 Old Footprint=USB4110GFA New Footprint=USB4110GFA
Change Physical Footprint: Designator=J2 Old Footprint=S4BPHSM4TBLFSN New Footprint=S4BPHSM4TBLFSN
Change Physical Footprint: Designator=L1 Old Footprint=74439346068 New Footprint=74439346068
Change Physical Footprint: Designator=R1 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R2 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R3 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R4 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R5 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R6 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R7 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R8 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R9 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R10 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R11 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R12 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R13 Old Footprint=RES_0402 New Footprint=RES_0402
Change Physical Footprint: Designator=R14 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R15 Old Footprint=RES_0402 New Footprint=RES_0402
Change Physical Footprint: Designator=R16 Old Footprint=RES_0402 New Footprint=RES_0402
Change Physical Footprint: Designator=R17 Old Footprint=RES_0402 New Footprint=RES_0402
Change Physical Footprint: Designator=R18 Old Footprint=RES_0402 New Footprint=RES_0402
Change Physical Footprint: Designator=R19 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=R20 Old Footprint=RES_0201 New Footprint=RES_0201
Change Physical Footprint: Designator=SW1 Old Footprint=SLW12775453ARAND New Footprint=SLW12775453ARAND
Change Physical Footprint: Designator=SW2 Old Footprint=KMR232NGULCLFS New Footprint=KMR232NGULCLFS
Change Physical Footprint: Designator=SW3 Old Footprint=KMR232NGULCLFS New Footprint=KMR232NGULCLFS
Change Physical Footprint: Designator=U1 Old Footprint=MODULE_ESP32-H2-MINI-1-H2 New Footprint=MODULE_ESP32-H2-MINI-1-H2
Change Physical Footprint: Designator=U2 Old Footprint=AP33771CFBZ13FA01 New Footprint=AP33771CFBZ13FA01
Change Physical Footprint: Designator=U3 Old Footprint=QFN50P400X400X100-21N-D New Footprint=QFN50P400X400X100-21N-D
Change Physical Footprint: Designator=U4 Old Footprint=SOT-25_TOR New Footprint=SOT-25_TOR
Change Physical Footprint: Designator=U5 Old Footprint=QFP50P900X900X120-49N New Footprint=QFP50P900X900X120-49N
Change Physical Footprint: Designator=U6 Old Footprint=SOT-5X3-8_DRL_TEX New Footprint=SOT-5X3-8_DRL_TEX
Change Physical Footprint: Designator=U7 Old Footprint=SOP65P640X120-16N New Footprint=SOP65P640X120-16N
